userName,content,score,at,appVersion
Nur Cahyadi,"sangat membantu,menyenangkan....",5,2025-04-06 21:02:44,5.14.2
Mahmud,"tolong di perbaiki lagi, kebanyakan nolak drivernya,cuma perkara harga beda sama yang seharunya( nego)",3,2025-04-06 21:01:04,
Sugeng Markuat,gojekindonesia okkk,5,2025-04-06 20:37:22,5.14.2
Abdul Rozak,ok,5,2025-04-06 20:09:20,5.14.2
chyntia anindhyta,"Kenapa akhir2 ini aplikasi sering error? Diperbaiki dong, jadi ga bisa dipake pas dibutuhin",5,2025-04-06 19:39:59,5.14.2
Jame,tidak dapat call sama driver,2,2025-04-06 19:15:28,5.14.2
ferry adrian,good,5,2025-04-06 18:18:27,
Yadmis Mis,murah berkualitas cepat dan berguna untuk aktivitas dan kebutuhan,5,2025-04-06 17:57:46,5.15.1
Pengguna Google,Apaan sih gajelas bgt masa kalo pesen gojek distasiun bukan otomatis cari driver malah keluar kode booking dan disuruh nyamperin drivernya. DRIVER LAGI BERGEROMBOL TIBA2 NYAMPERIN YA DI CATCALLING. Kenapa ga otomatis cari driver aja gak usah pake kode booking kecewa no 2. hari ini 20 menit pesen gojek ga dapet driver. sekalinya dapet malah dicancel. udahlah mending uninstal aja,1,2025-04-06 17:56:46,5.14.2
Restu Muhamad Bastian,lama bgt dapet driver nya,1,2025-04-06 17:47:34,5.15.1
Trantib Umum,sangat bagus,5,2025-04-06 17:37:54,5.14.2
Adi Pku,good,5,2025-04-06 17:29:29,5.14.2
Ririn Aulia Jayani,"kesel bgt, pesen seblak di gofood udh nunggu sekitar 45+ menit lebih tiba2 dicancel karna ga ada driver, pesen lagi ditoko yg sma nunggu 45+ menit lg ga bisa juga kehabisan driver ga ada driver terdekat, akhirny pesen mkn yg lain nunggu lagi sekitar 30 menit lebih dicancel karna ban motorny driver kempes, bingung mau batalin atau engga soalny driverny minta dibatalin tapi ga enak sama pihak restonya takut udh jadi, tetep pesen tapi akhirnya ga bisa jg kehabisan driver bad, udh nunggu ga dpt apa2",1,2025-04-06 17:24:38,
Rinto Leonardo Siahaan,"Makanan telat, driver ga nemu-nemu, dibatalkan ga bisa. Fitur bantuan ga gin, CSnya Bot, udah gitu ga mau tanggung jawab! Ga jelas ini aplikasi, bubar aja kalo gk niat!",1,2025-04-06 17:24:17,5.14.2
Naufal Fachri,poor customer service & cancellation procedure. No provided cs number to contact directly,1,2025-04-06 17:11:46,5.14.2
Henok Naumi,ckp membantu walaupun sering mahal tarifnya,5,2025-04-06 17:05:43,5.15.1
Bisman Nugraha,"gojek dan gopay mempermudah segalanya, mantap",5,2025-04-06 17:04:46,
Juniah,bagus saya suka,5,2025-04-06 16:55:19,5.15.1
ihsan nugraha,"pelayanan di gofood lama banget,pelanggan harus nunggu 1 jam lebih baru bisa makan,keburu mati kelaparan,kalo bisa kasih ½ bintang dah",1,2025-04-06 16:54:08,5.14.2
Dian Kurnia dewi,Ramah...berkendara dng santai menurun kan penumpang pd tujuan yg tepat,5,2025-04-06 16:53:08,5.14.2
Mama Reva,membantu,5,2025-04-06 16:49:35,5.15.1
Andry Dry,saya pesen makan lewat gojek SATE PADANG AJO MINANG pesen dari jam 10 sampe sekarang gak ad konfirmasi pesanan mau di bayalin gak bisa dan udh saya bayar pke gopay,1,2025-04-06 16:45:31,5.14.2
Gadis Riski,"saya order gosend tgl 6 apr 2025 jam 13.10 tapi sampai saat ini barang belum diterima, driver di chat dan ditelpon tidak respon. sekitar jam 17.30 driver baru respon telpon saya dan driver menerangkan bahwa ybs kecelakaan jadi tidak bisa mengantar. katanya driver sudah lapor dtg langsung ke kantor gojek di kemang, driver tidak bertanggung jawab dan mengarahkan saya langsung hubungi pihak gojek. saya menghubungi pihak gojek melalui chat tapi responnya hanya tamplate saja.",1,2025-04-06 16:43:12,
Ashraf Gaming,aplikasi sampah kalo gaada driver bilang lah malah telat telat gajelas cape nunggu 1 jam ternyata tiba tiba di cencel hadehhhh. katanya bakal dapat Driver di tunggu lama sekali ternyata gadapat tulisan nya telat ternyata pas ke cencel alasannya gaada driver nya,1,2025-04-06 16:35:35,5.14.2
Rohan Nurfatah,okheeee,5,2025-04-06 16:35:08,5.15.1
ALEX RGG,drivernya kalo udah lihat costumer pake diskon gada yg mau ambil.. saya pesan makan dari jam setengah 10 malam sampai jam setengah 12 malam gada yg mau ambil. bolak balik ganti resto pun gada yg mau ambil. tolong hapus diskon itu kalo drivernya manja!,1,2025-04-06 16:34:13,5.14.2
Donna Katinur,"gajelas pesen makan perkiraan awal smpe 23.49 eh ditunggu makin lama makin ke belakang waktu nya , perkiraan smpe jd 23.59 . padahal mesen di 22.46 hadehhhh",3,2025-04-06 16:32:29,
Ardi Tomo,Mantap coi,5,2025-04-06 16:24:10,5.14.2
Ros diana,ok baik,5,2025-04-06 16:23:59,5.14.2
Abdullah Ahmad,"gocar lebih sering dapat AC yang tidak dingin...sy kasih bintang 3 untuk apresiasi pada unit yang AC nya dingin saja, selebihnya buat AC di unit nya yg tidak dingin, padahal pakai gocar biasa dan gocar comfort, bukan gocar hemat,,, ttp ya gitulah maka bersyukur banget jika dapat unit yang AC nya ok",3,2025-04-06 16:19:57,5.14.2
Edy Widiyanto,bikin kecewa gojek skrng masa iya kita butuh makanan nunggu smpek Berjam jam pdhal dulu bagus loh gojek ini gak tau kenapa akhir2 ini di bikin kecewa nunggu trllu lamaa 2kali ini,1,2025-04-06 16:09:37,5.15.1
Adha Danu,DRIVER NYAA PADA KEMANA ORDER MAKANAN DARI JAM 8 MALEM SAMPE JAM 11 MALAM KGAK ADA DRIVER!!!!!,1,2025-04-06 16:08:54,5.15.1
Abdu Rizky Pohan,"mesen gofood, susu jahe aja sampe 30menit.. blm nunggu jemput gojek, blm pengantaran.. udh nunggu lama, malah gk dapet driver.. niat gk woyyy!!",1,2025-04-06 16:08:36,
Journey,GK bisa chat resto untuk gofood. harus nunggu resto yg chat duluan. kocak emang aplikasi mana lama bener nyiapin makanan. gunanya gojek mempercepat. mempermudah. malah jadi makin lelet,1,2025-04-06 16:06:00,4.93.1
Miftah0500 Mifmif,"gmn si mesen makanan udh nunggu 1 jam lebih tp dicancel dr pihak gojek alesan tidak Nemu driver, driver sibuk lah ... pdhal pihak restonya udh nyiapin orderan hadehh perbaiki Lg dongggg",1,2025-04-06 16:05:51,5.14.2
Nachts,sudah ada akun,5,2025-04-06 16:00:55,
novia rahayu,gak guna,1,2025-04-06 15:45:54,5.14.2
eko Prasetyo,di suasana hujan dan akhirnya dapat driver gocar Terima kasih,5,2025-04-06 15:45:28,5.14.2
Neny Kurnia21,td berkali2 dicancel oleh driver mungkin krn jrk nya tdk terlalu jauh,5,2025-04-06 15:44:35,5.14.2
ismelia rahayu,aplikasi buruk,1,2025-04-06 15:43:40,5.15.1
Febriyani,"halo ka, untuk gofood ongkirnya mahal banget ya. beda sama di sh*pe*",3,2025-04-06 15:42:27,5.14.2
febii febriianii,3 kali order gofood di cancel terus sama driver nyaa padahal makanan udah siap,2,2025-04-06 15:41:29,
Aprilia Puspita,"sudah 3/4kali saya pesan go food selalu menunggu lebih dari satu jam dan tidak bisa di batalkan. padahal kami ni orang lapar ingin pesan makan . kalo nunggu satu jam lebih pingsan orang klo punya asam lambung tuu. pusat bantuan yg jawab bot, mau complain ketik kaga bisa. sama aja intinya tidak dapat di batalkan pdhl driver blm dapat",2,2025-04-06 15:40:14,5.15.1
Rusdianto Lee,Keren,5,2025-04-06 15:39:05,5.14.2
jojo marety,Susah dapat driver! tidak ada menu chat CS!,1,2025-04-06 15:36:56,5.15.1
Jepri Rahmaddani,murah,5,2025-04-06 15:24:52,
Abel Nur Muhammad,"tolonglah benerin help center gofood nya, gw pesen makaman nunggu sampe outlet nya close tapi resto ttep bilang preparing food padahal outletnya udah tutup, lapor ke help center ga membantu sama sekali karena pake BOT, ffs",1,2025-04-06 15:24:36,5.14.2
Mora Munthe,nyaman,5,2025-04-06 15:23:25,5.14.2
erisa novriyani,udah laper banget driver malah cancel terus bikin emosi aja 😡,1,2025-04-06 15:21:24,5.4.1
Wildi Prasetyo,pesen gofud sampai 2 jam lebih belum sampe. dapetin drivernya ajah sampe sejam lebih. makanan udah dingin. sangat disayangkan,1,2025-04-06 15:19:19,
Kadarisman Diputra,sering banget pesen gofood udah nunggu berjam2 akhirnya di batalkan karena gak dapat driver. makin kesini makin jelek aja. kalau ada bintang minus 100 udah diklik sayang paling sedikit cuman 1,1,2025-04-06 15:18:28,5.6.1
Ebe Nasgor,makin lama makih busuk cari drivernya susah harus nunggu 1 jam baru dapat driver kalau pesan makanan,1,2025-04-06 15:18:17,4.45.1
Fajri Damarjati,"proses pesanan lambat, cs hanya mengandalkan bot, tidak ramah untuk pelayanan terhadapn konsumen. Loyal menggunakan gojek selama ini, dibuat kecewa dengan pelayanan yang sangat tidak memuaskan",1,2025-04-06 15:17:58,5.15.1
Aditya Prima,pilih yang ekspres malah jadi telat dan makin lama 😅,2,2025-04-06 15:16:01,5.14.2
Muhammad Nabris Akmal,Terlalu lama ngasih driver. sekalinya ngasih jauh banget akhirnya dicancel sama drivernya sndri,2,2025-04-06 15:11:51,5.14.2
Nur Hikmah,"tolong perbaiki lagi kalo lagi musim hujan, sudah harga nya mahal tapi drivernya gak ada yang mau jalan,di kasih promo juga sama aja bohong gak ada yang mau jemput penumpang nya,padahal udah nunggu lama",1,2025-04-06 15:11:34,
ningtyas dwicahyani,"terkhusus untuk go food, sistem nya di benahi",1,2025-04-06 15:10:57,5.14.2
Anto Munet,ngak jelas,1,2025-04-06 15:10:25,5.14.2
Tya Mutia,tingkatkan terus ya kinerjanya ditunggu promo menarik lainnya gojek😁,5,2025-04-06 15:08:14,5.14.2
Ervan Firdaus,"kecewa sama gofood malam ini , udh nunggu 1 jam , ga ada kabar dari resto , pas liat notif driver sibuk , malah ilang pesanan ,",1,2025-04-06 15:07:33,5.14.2
nama ali,udah ditunggu2 ternyata gofod nya dibatalin... mana malem tokonya sampe tutup.. padahal udah nunggu 1 jam,1,2025-04-06 15:06:46,5.15.1
Surya dida Prayitno,driver nya pada manja ga kaya driver sebelah,1,2025-04-06 15:05:54,5.14.2
Al Aziz,"sering pesan gofood nunggu pesanan kelamaan sekalinya tokonya tutup gaada info di apk klo toko sedang tutup, kecewa bnget",1,2025-04-06 15:01:05,5.14.2
hibatur rachman,"beli gofood nunggu lama2 ga dapat driver akhirnya dibatalin. ga fair buat pembeli tapi sah2 aja buat aplikasi. harusnya dapat kompensasi, jangan begini. pembeli disuruh nunggu tapi ga bisa batalin. giliran ga dapat driver gojek ga mau tanggung jawab. buang buang waktu",1,2025-04-06 14:58:46,
risky anwar,"aplikasi yang ga berguna buat pesen makanan, nunggu makanan sampai ke customer aja bisa 1 jam lebih, belum jika ada kendala seperti driver tidak ada yang mengambil orderan, mohon jika ada yang mau pesan makanan tidak perlu menggunakan aplikasi ini. orang yang mau makan jadi harus menunggu sampai 1 jam lebih !",1,2025-04-06 14:55:59,
Riski Abdul,"apaan klo abis ujaan kaga niat ngasih orderan reme"" mulu padahal di tanya langsung ke mas gojeknya ngga ada orderan mending langsung ke gojeknya dari pd lewat apl",2,2025-04-06 14:53:26,5.14.2
Kurniawan 2102,"pesen makanan malah di cancel pas udah sejam, tolong diperbaiki lagi performanya sebelum orang mati kelaparan",2,2025-04-06 14:51:14,5.8.1
Shuyu Emiter,Pesen makanan sering gak dapet driver,1,2025-04-06 14:51:13,5.5.1
Pelangi Maya,"Jarak jauh ataupun dekat, macet ataupun lancar, Driver gocar maunya cuma lewat tol. kalau penumpang gak mau lewat tol, driver selalu minta cancel",1,2025-04-06 14:50:25,5.14.2
Rini Yugi,udh nunggu gofood 1 jam di cancel karena alasan driver sibuk,1,2025-04-06 14:49:35,
Neng Doho,layanan gojek sekarang jelek banget lama dapet driver padahal nyarinya ditempat ramai,2,2025-04-06 14:48:00,5.15.1
wahyu_ BTX,"nunggu pick up lama banget, kasih kek maksimal waktu 10-15 menit, udah 30 menit dibatalin LOL",1,2025-04-06 14:47:15,5.15.1
Kayla Mufliha Zulfa,nunggu pesanan gofood lama sekali ternyata setelah menunggu dibatalkan,1,2025-04-06 14:44:45,5.14.2
rian yaumi,makin sini makin kayak tau knp harus pake verifikasi muka segala. saya pakai aplikasi ini sudah lama. tolong balikan ke semula,1,2025-04-06 14:41:54,5.15.1
Dilla Firdaus,sangat membantu dan terpercaya,5,2025-04-06 14:41:07,5.14.2
Faizzz Rabbaniii,terlalu lama dalam gofood,1,2025-04-06 14:39:13,5.15.1
Ha rukyu,lama bgt cari drivernya!!!,1,2025-04-06 14:39:02,
Purnama pristiwa,ok,5,2025-04-06 14:38:48,5.14.2
MiySah Sok,masa go food jaraknya 1 km doang ongkirnya 40k? setara sama yang di order 40k coba 😓😓,1,2025-04-06 14:38:37,
ayuu mumpuni,"Halo, kenapa selalu sudah mendapatkan driver ya? saya pesan gofood sudah 2 restoran dan menunggu 1 jam lebih tapi di cancel karena susah dapat driver. Pesan goride juga susah dapat driver. Mohon diperbaiki lagi sistemnya.",2,2025-04-06 14:37:27,
Hanrin Damas Twiantoro,"Kalau cuaca hujan yg g deras, pada males ngambil penumpang. selain itu bagus bagus sj. Maaf bintang 1.",1,2025-04-06 14:35:36,5.14.2
HADI Ys,makin sini makin jelek,1,2025-04-06 14:33:27,5.11.1
Nur Hidayat,"HUJAN DIKIT DRIVER NGGA MAU AMBIL, KEBANYAKAN PAKET HEMAT BIKIN DRIVER MALAS ONBID. PELIT",1,2025-04-06 14:28:38,5.14.2
incoe bontot,mantap,5,2025-04-06 14:25:50,
Akmal Ramadhan,nunggu dapet driver ambil pesenan sampe 1 jam gak dapet dapet minta di cancel gak bisa gimana dong perbaiki lagi,2,2025-04-06 14:25:36,5.14.2
dosmawati nurdesima,say pusing deh kepencet salah pesan maknan tapi ga bisa dan ga ada menu di batalkan ini gimana?,1,2025-04-06 14:24:57,
coffee star,"gojek selalu jadi andalan untuk lancar perjalanan, aman & nyaman",5,2025-04-06 14:23:07,
kak mark,"kocak nih aplikasi gajelas, udah nunggu sejam lebih, gaada progress nya, gabisa cancel dari costumer, malah tbtb dibatalin dari gojeknya karna gaada driver. Padahal udh nunggu lama lol.",1,2025-04-06 14:22:40,5.14.2
Rusli Wahyudi (Badon),"order gofood dari jam 20:00 sampai jam 21:00 akhir nya di batalin system, kan bego nih system",1,2025-04-06 14:21:46,5.1.1
Alex Pasaribu,pesan makanana nunggu 2jam bagus2,1,2025-04-06 14:21:42,5.14.2
Muhammad Rusdi,mantap,5,2025-04-06 14:21:03,5.14.2
Batik Madrim,"apk yg bagus n tepat waktu,,🙏",5,2025-04-06 14:20:17,5.14.2
Bella Santika,aplikasinya oke banget suka banyak promo juga,5,2025-04-06 14:17:22,5.15.1
Rondelima Ex,Gajelas. Order Go Food 3 jam lebih cancel terus alesan kendala driver.,1,2025-04-06 14:15:24,5.14.2
Dani Dina,bgus,5,2025-04-06 14:13:53,5.14.2
Dita 12,👍👍👍👍,5,2025-04-06 14:12:35,5.14.2
Daudgltm,sering sekali tidak mendapat driver,1,2025-04-06 14:11:07,
ryu hashy,"selalu dapat potongan harga, makanan cepat sampai",5,2025-04-06 14:10:54,5.14.2
Anton Ton,pelayanan makin kesini makin tidak jelas....,1,2025-04-06 14:10:24,5.14.2
Sita Rachmah,buruk,1,2025-04-06 14:08:41,5.14.2
Fitri Febrianti,"gojek sekarang pelayanannya super lama untuk pengantaran gofood bisa nunggu 1 jam padahal kondisi resto lagi gak ramai, dan logikanya toko roti gak harus nunggu masak tapi pengantaran bisa nunggu 40 menit untuk di antar",1,2025-04-06 14:05:27,5.11.1
Dwi Putri Mitra Rosdiana,"pesan gofood selalu aja nunggu lama sampe 2jaman, dan selalu aja tiba"" ke cancel setelah nunggu hampir 2jam lebih.. klo kata orang punya magh dan gerd udah masuk IGD kali..",1,2025-04-06 14:04:17,5.14.2
N City,udah sering banget sekarang pesan gofood tapi prosesnya lama banget eh ujungnya ga ada driver,1,2025-04-06 14:02:01,5.15.1
Govur Aja,gofood gak guna..2 kali mesen dan masing2 udah nunggu 1 jam jd total 2 jam ternyata dibatalin..emang aplikasi sampah...,1,2025-04-06 14:01:20,5.14.2
Winasis Ardoyoseto Rahman,"makin susah cari gocar, semua driver maunya jarak jauh. padahal ngga pake tarif hemat, kalo dapet juga selalu tip. pindah aplikasi lain drivernya mau2 aja jemput. gojek ini gimana ngatur mitranya?",1,2025-04-06 14:00:26,5.5.1
Syazjiepark,"beli makanan pas ujan dapet drivernya lama bgt, nunggu 1 jam sia sia ternyata di batalin sama gojeknya sendiri, nyoba pesen ulang sama aja. kadang ongkirnya mahal bgt padahal deket",3,2025-04-06 14:00:17,
Amur Tigro,ok punya,5,2025-04-06 13:59:47,
Muhammad Mukhlish,Driver banyak yg ga mau,1,2025-04-06 13:59:24,5.14.2
JovantFF Game,pelayanan sangat buruk. kenapa harus ada paket ekonomis kalo tidak ada driver yang mau ambil. setelah 1 jam menunggu baru dibilangin maaf driver semua sibuk. udah hapus aja paket ekonomis nya ga usah ada,1,2025-04-06 13:58:56,5.14.2
Rizki Hanuary,buruk sekali gofood sudah 1jam lebih nunggu blm dapet driver,1,2025-04-06 13:58:12,5.12.1
Hendy Darmawan,"Saya revisi penilaian saya, karena beberapa kali mendapatkan penyelesaian masalah yang buruk, hanya dijawab oleh chatbot",1,2025-04-06 13:58:06,5.15.1
Meidyah Ayu,udah berapa kali order make reguler tp nunggu nya smpe 1 jam 30 menit lamaran bner,1,2025-04-06 13:56:17,5.15.1
Diky Putra,CS ISINYA CUMA BOT GADA PENYELESAIAN MASALAH,1,2025-04-06 13:55:19,5.14.2
Emak Ketjeh,"susah kasih review restoran, pdhl sy suka ksh review, makanya males beli makanan di gofood. hrsnya semua review (driver, resto, penumpang dll) ada di semua aktivitas, ga usah muncul di home. beli makanan cuma muncul bintang buat driver, bintang buat restonya ga ada, ada jg beberapa kemudian muncul di home, kebanyakan ga muncul, hrsnya diperbaiki bagian review ini, trus jg hrsnya bisa ksh tips buat driver jgn dihilangkan",3,2025-04-06 13:55:17,5.14.2
Kevin Eknar,"Tidak bisa membatalkan order makanan, padahal sudah menunggu lama dan tidak mendapatkan driver. Jarak pengirimannya kurang lebih 3 km. ChatBot nya juga gak jelas",1,2025-04-06 13:55:13,5.14.2
TUMPAL JANUARIUS SIDABUTAR,cancel mulu drivernya,1,2025-04-06 13:54:33,5.14.2
Muhammad Raka alkhalifah,"plis untuk nyari driver nya lama banget,saya hampir ga bisa pulang cuma gara gara harga gocar naik drastis karena hujan+ketika nyari driver lama banget bisa lebih dari 30 menit,saya ngak tau apa emang di server nya yang bermasalah, karena dari driver yang saya dapat katanya ada banyak masalah di server gocar nya, Untung aja temen saya bisa dapet gocar nya meski harus nunggu 2 jam baru dapat,mohon di perhatikan lagi Masalah dalam server nya ya🙏🏻",1,2025-04-06 13:52:30,5.14.2
Abib,pas pesan gofood susah cari driver saya menunggu 30 menit lebih,1,2025-04-06 13:51:37,5.14.2
Bagas Ilham Nur Zaman,"posisi sedang lapar sekali dan sudah pesan makanan dengan estimasi 40-50 menit ditunggu sampai 1,5 jam belum ada perkembangan bahkan diambil driver juga belum. entah bug atau bagaimana yang pasti ini aplikasi memberikan pengalaman yang sangat buruk👎🏻",1,2025-04-06 13:51:09,5.14.2
Arief GMO,mo komplen ke CS nya gada no tlpnya. cuma bs chat ma robot. pesen hokben sampe 2 jam ga dpt² driver.,3,2025-04-06 13:50:14,5.14.2
Billyhardian1409 Bill,anjir nyari ojek buat gofood gua lama amat,3,2025-04-06 13:49:49,5.15.1
Arya lah Masa ga,"ga jelas, saya sudah minta batalin orderan nya, sudah nunggu 2 jam dan perkiraan paling lama 45 menit dan ga bisa di cancel, tolong diperbaiki lagi!",1,2025-04-06 13:44:16,5.14.2
Haris Dirga,apk jelek tidak jelas,1,2025-04-06 13:39:55,5.14.2
Kasih Cantik,ampun dah pesan gofood sekarang lama bnget gk sesuai estimasi sering telat ni sya pesan udah 1 jam lebih gk dateng2 pdhal resto yg jaraknya dket tp gila mau batalin jg gk bisa di tungguin lamanya sya pastikan abis ni saya uninstal,2,2025-04-06 13:39:53,
Muh Fayadh,Baik banget,5,2025-04-06 13:39:34,4.59.1
Nooo,ampas bgt klo ujan,1,2025-04-06 13:38:57,5.14.2
Zieestillhere,aplikasi bermasalah,1,2025-04-06 13:38:03,5.15.1
Syifa Aulia,driver nya manja² daerah bintaro setelah ujan aja males bener ngambil orderan .,3,2025-04-06 13:37:40,5.14.2
nira nuraisah,"NUNGGU HAMPIR 2 JAM UNTUK GOFOOD TIBA-TIBA DICANCEL TANPA KEJELASAN, DICANCEL GABISA",2,2025-04-06 13:35:41,5.14.2
Abdullah Hamzah,aplikasi sampah harga mahal sering mgecewain,1,2025-04-06 13:34:37,5.14.2
Floryll Payy,"driver ny ga ad yg mau ngambil orderan pda males kalo udh malem, trs dari resto suka ngebatelin jugaa, ga bangett dehh org"" nya, kaya g niat kerja",1,2025-04-06 13:31:55,
Dafa Ramadhan,"SUSAH DAPET DRIVER, DR JAM 5 sampe jam SETENGAH 9 MASIH BLUM DAPET DRIVER, MANTAAPPPPPPPPPPP",1,2025-04-06 13:29:01,
Farras Mufid,"mesen gofood masa nyari dirvernya pas makanan udah mau jadi. pas makanan udh jadi dicari drivernya malah ga ada, trs disuruh pesen lagi. pas pesen lagi malah disuruh tunggu makanannya dibuatin lagi. kocak kocak",1,2025-04-06 13:27:14,5.14.2
Nadip “Nadipp”,"jangan download mending pake grab, gajelas",1,2025-04-06 13:26:48,5.15.1
Captain Panda,"aplikasinya bagus dan sangat membantu, tapi ada satu hal yang bikin saya kesel banget ketika baru aja hujan mau pesen gofood suka ga ada yang anterin dan bisa nunggu sampe 1 jam lebih dan di luar estimasi dari gojeknya sendiri dan kalo telat waktu estimasinya di freeze gitu aja dan csnya tidak membantu sekali",2,2025-04-06 13:24:25,5.15.1
Aini Wina Pramudani,"Aplikasi ga jelas, kalau emang sok sibuk drivernya batalin dari awal. Ini udah nunggu satu setengah jam batu dibatalin karena alasan driver sibuk. Gajelas lu",1,2025-04-06 13:23:01,5.15.1
Fika Elvira,"pengiriman gofood ga jelas, di undur2 mulu.",1,2025-04-06 13:22:44,5.15.1
Reyza Fadh,top,5,2025-04-06 13:22:01,
Lizar Samtidar,Saran saya kalo sekiranya tidak dapat driver. per 5 menit batalkan otomatis. agar tidak menunggu lama,3,2025-04-06 13:18:13,4.66.1
Moch. Agil Nurochmansyah,"driver sering gajelas tiba"" cancel orderan pdhal saya lagi butuh banget, ga banget dengan pelayanannya",1,2025-04-06 13:15:43,5.14.2
Elsa Fikri,kacauuuu gabisa di cancel dan saldo ga kembalii!!!,1,2025-04-06 13:15:13,
Viorenzy SG,teman baik dalam semua aktifitas dan banyak promo buat smwny ya bukan hanya goride tapi smwnya aku menggunakan gojek buat transaksi juga.. terimakasih gojek setia selalu denganku entah udah brapa lamanya ya 🙏🙏 smoga lebih baik terdepan..,5,2025-04-06 13:09:33,
NANDA Vira,jelek bgt. org butuh ga bisa2.,1,2025-04-06 13:08:56,5.14.2
Nihlah Haniah,Agak kesel karena di cancel terus! Lama bgt cari drivernya! Trus dpt yg jauh terus huhu,3,2025-04-06 13:08:50,5.15.1
Roy M mh,good,5,2025-04-06 13:05:38,5.14.2
Pram . P,"gajelas ,pesen gofood sering banget ga dapet driver alhasil pesanan yg nunggu sejam di batalin ,hadeuh",1,2025-04-06 13:03:58,5.14.2
Ivana Icha,"ni tolong di perbaiki sistem nya, dapet driver nunggu lamaaa pollll. 2 jam an ga dapet dapet mana ga bisa di cancel dengan alasan resto sudah nyiapin. tolong dong dapet driver tu jangan kelamaan ada bates waktu nya, kalo emang 30 menit lahh maksimal ga dapet driver ya udh custumer bisa nge cancel",1,2025-04-06 13:03:07,5.16.1
Irfan Fadhilah,"saran aja nih, kalau gofood itu lama, tolong di kasih opsi cancel aja, ni kita nunggu lama dan tolong nih kalau bisa restonya bisa dichat udah itu aja",1,2025-04-06 13:01:55,5.15.1
